group,n,corr_cy_px,bottom_over_top,verdict,px_median
NOMAD Actor071_a30,85,0.2923,1.645,수직 하향에 가까움,78.0
NOMAD Actor071_a50,85,0.072,1.023,수직 하향에 가까움,47.0
NOMAD Actor071_a70,85,-0.2496,0.33,수직 하향에 가까움,43.0
NOMAD Actor071_a90,85,-0.0788,1.014,수직 하향에 가까움,34.0
NOMAD Actor072_a10,85,-0.1681,0.791,수직 하향에 가까움,274.0
NOMAD Actor072_a30,85,-0.3447,0.788,비스듬(위가 큼),85.0
NOMAD Actor072_a50,85,-0.2854,0.612,수직 하향에 가까움,44.0
NOMAD Actor072_a70,85,-0.1613,1.0,수직 하향에 가까움,32.0
NOMAD Actor072_a90,85,-0.1981,0.762,수직 하향에 가까움,21.0
NOMAD Actor073_a10,85,-0.0341,0.984,수직 하향에 가까움,240.0
NOMAD Actor073_a30,85,0.3905,1.776,비스듬(아래가 큼),83.0
NOMAD Actor073_a50,85,0.4798,1.538,비스듬(아래가 큼),51.0
NOMAD Actor073_a70,85,0.487,2.211,비스듬(아래가 큼),31.0
NOMAD Actor073_a90,85,0.4473,2.156,비스듬(아래가 큼),22.0
NOMAD Actor074_a10,85,0.0667,0.907,수직 하향에 가까움,230.0
NOMAD Actor074_a30,85,0.3444,1.342,비스듬(아래가 큼),78.0
NOMAD Actor074_a50,85,0.3623,1.208,비스듬(아래가 큼),46.0
NOMAD Actor074_a70,85,0.3898,1.4,비스듬(아래가 큼),35.0
NOMAD Actor074_a90,85,0.1455,1.255,수직 하향에 가까움,22.0
NOMAD Actor075_a10,85,0.126,1.186,수직 하향에 가까움,248.0
NOMAD Actor075_a30,85,0.2841,1.166,수직 하향에 가까움,80.0
NOMAD Actor075_a50,85,0.1184,0.968,수직 하향에 가까움,46.0
NOMAD Actor075_a70,85,-0.0661,0.897,수직 하향에 가까움,36.0
NOMAD Actor075_a90,85,0.2596,0.844,수직 하향에 가까움,26.0
NOMAD Actor076_a10,85,0.2417,1.186,수직 하향에 가까움,259.0
NOMAD Actor076_a30,85,0.0928,0.994,수직 하향에 가까움,92.0
NOMAD Actor076_a50,85,0.0792,1.225,수직 하향에 가까움,63.0
NOMAD Actor076_a70,85,-0.1596,0.785,수직 하향에 가까움,46.0
NOMAD Actor076_a90,85,0.0255,1.167,수직 하향에 가까움,36.0
NOMAD Actor077_a10,85,0.098,0.88,수직 하향에 가까움,136.0
NOMAD Actor077_a30,85,-0.0193,0.832,수직 하향에 가까움,93.0
NOMAD Actor077_a50,85,0.1668,0.953,수직 하향에 가까움,45.0
NOMAD Actor077_a70,85,-0.275,0.833,수직 하향에 가까움,34.0
NOMAD Actor077_a90,85,-0.0852,1.22,수직 하향에 가까움,28.0
NOMAD Actor078_a10,85,0.2256,1.072,수직 하향에 가까움,297.0
NOMAD Actor078_a30,85,0.1264,1.446,수직 하향에 가까움,95.0
NOMAD Actor078_a50,85,0.1864,1.05,수직 하향에 가까움,61.0
NOMAD Actor078_a70,85,-0.0938,0.69,수직 하향에 가까움,35.0
NOMAD Actor078_a90,85,0.0053,1.098,수직 하향에 가까움,26.0
NOMAD Actor079_a10,85,0.5434,4.828,비스듬(아래가 큼),65.0
NOMAD Actor079_a30,85,0.5089,2.967,비스듬(아래가 큼),44.0
NOMAD Actor079_a50,85,0.2331,1.384,수직 하향에 가까움,36.0
NOMAD Actor079_a70,85,0.2652,1.306,수직 하향에 가까움,36.0
NOMAD Actor079_a90,85,0.1097,1.036,수직 하향에 가까움,31.0
NOMAD Actor080_a10,85,0.6197,3.158,비스듬(아래가 큼),190.0
NOMAD Actor080_a30,85,0.2709,1.151,수직 하향에 가까움,100.0
NOMAD Actor080_a50,85,0.2458,1.924,수직 하향에 가까움,55.0
NOMAD Actor080_a70,85,-0.3782,0.506,비스듬(위가 큼),46.0
NOMAD Actor080_a90,85,0.1011,1.029,수직 하향에 가까움,35.0
NOMAD Actor081_a10,85,0.7095,1.074,비스듬(아래가 큼),183.0
NOMAD Actor081_a30,85,0.5452,1.033,비스듬(아래가 큼),79.0
NOMAD Actor081_a50,85,0.4963,1.14,비스듬(아래가 큼),50.0
NOMAD Actor081_a70,85,0.5661,1.152,비스듬(아래가 큼),36.0
NOMAD Actor081_a90,85,0.4224,1.185,비스듬(아래가 큼),30.0
NOMAD Actor082_a10,85,0.2276,1.017,수직 하향에 가까움,169.0
NOMAD Actor082_a30,85,-0.2445,0.77,수직 하향에 가까움,90.0
NOMAD Actor082_a50,85,-0.0716,0.939,수직 하향에 가까움,58.0
NOMAD Actor082_a70,85,-0.1493,0.709,수직 하향에 가까움,41.0
NOMAD Actor082_a90,85,0.2033,1.0,수직 하향에 가까움,33.0
NOMAD Actor083_a10,85,0.484,3.199,비스듬(아래가 큼),220.0
NOMAD Actor083_a30,85,0.3549,1.11,비스듬(아래가 큼),92.0
NOMAD Actor083_a50,85,0.2429,1.0,수직 하향에 가까움,53.0
NOMAD Actor083_a70,85,0.2239,0.988,수직 하향에 가까움,40.0
NOMAD Actor083_a90,85,0.1578,1.328,수직 하향에 가까움,34.0
NOMAD Actor084_a10,85,0.2982,1.092,수직 하향에 가까움,271.0
NOMAD Actor084_a30,85,0.3406,1.231,비스듬(아래가 큼),104.0
NOMAD Actor084_a50,85,0.1275,1.065,수직 하향에 가까움,66.0
NOMAD Actor084_a70,85,0.3605,2.0,비스듬(아래가 큼),42.0
NOMAD Actor084_a90,85,0.3791,2.056,비스듬(아래가 큼),29.0
NOMAD Actor085_a10,85,0.4591,0.992,비스듬(아래가 큼),227.0
NOMAD Actor085_a30,85,0.1083,0.818,수직 하향에 가까움,95.0
NOMAD Actor085_a50,85,0.2407,1.167,수직 하향에 가까움,57.0
NOMAD Actor085_a70,85,0.2667,0.987,수직 하향에 가까움,39.0
NOMAD Actor085_a90,85,0.0735,0.903,수직 하향에 가까움,33.0
NOMAD Actor086_a10,85,0.7073,1.9,비스듬(아래가 큼),182.0
NOMAD Actor086_a30,85,0.5877,1.989,비스듬(아래가 큼),63.0
NOMAD Actor086_a50,85,0.674,2.05,비스듬(아래가 큼),51.0
NOMAD Actor086_a70,85,0.5841,1.826,비스듬(아래가 큼),33.0
NOMAD Actor086_a90,85,0.4456,1.6,비스듬(아래가 큼),24.0
NOMAD Actor087_a10,85,0.0241,0.666,수직 하향에 가까움,270.0
NOMAD Actor087_a30,85,0.1409,0.952,수직 하향에 가까움,100.0
NOMAD Actor087_a50,85,-0.0093,0.746,수직 하향에 가까움,63.0
NOMAD Actor087_a70,85,0.1506,1.092,수직 하향에 가까움,45.0
NOMAD Actor087_a90,85,0.197,0.662,수직 하향에 가까움,30.0
NOMAD Actor088_a10,85,0.0786,0.685,수직 하향에 가까움,290.0
NOMAD Actor088_a30,84,0.1941,1.369,수직 하향에 가까움,81.5
NOMAD Actor088_a50,85,0.1788,0.975,수직 하향에 가까움,50.0
NOMAD Actor088_a70,85,0.3666,1.184,비스듬(아래가 큼),39.0
NOMAD Actor088_a90,85,0.1854,1.075,수직 하향에 가까움,19.0
NOMAD Actor089_a10,85,0.4596,0.963,비스듬(아래가 큼),271.0
NOMAD Actor089_a30,85,0.2478,1.067,수직 하향에 가까움,84.0
NOMAD Actor089_a50,85,0.332,1.252,비스듬(아래가 큼),50.0
NOMAD Actor089_a70,85,0.5339,2.13,비스듬(아래가 큼),32.0
NOMAD Actor089_a90,85,0.3897,1.667,비스듬(아래가 큼),27.0
NOMAD Actor090_a10,85,0.3506,1.212,비스듬(아래가 큼),223.0
NOMAD Actor090_a30,85,0.4298,2.071,비스듬(아래가 큼),96.0
NOMAD Actor090_a50,85,0.449,2.07,비스듬(아래가 큼),60.0
NOMAD Actor090_a70,85,0.4232,1.557,비스듬(아래가 큼),48.0
NOMAD Actor090_a90,85,0.3776,1.139,비스듬(아래가 큼),40.0
NOMAD Actor091_a10,85,0.2448,0.763,수직 하향에 가까움,262.0
NOMAD Actor091_a30,85,0.2723,1.302,수직 하향에 가까움,78.0
NOMAD Actor091_a50,85,0.2474,1.228,수직 하향에 가까움,47.0
NOMAD Actor091_a70,85,0.0421,0.926,수직 하향에 가까움,33.0
NOMAD Actor091_a90,85,-0.2185,0.879,수직 하향에 가까움,26.0
NOMAD Actor092_a10,85,0.132,1.002,수직 하향에 가까움,300.0
NOMAD Actor092_a30,85,0.0844,0.995,수직 하향에 가까움,96.0
NOMAD Actor092_a50,85,0.1261,0.992,수직 하향에 가까움,60.0
NOMAD Actor092_a70,85,0.0181,0.926,수직 하향에 가까움,44.0
NOMAD Actor092_a90,85,0.0536,1.032,수직 하향에 가까움,33.0
NOMAD Actor093_a10,85,0.0653,1.436,수직 하향에 가까움,258.0
NOMAD Actor093_a30,85,0.2895,1.787,수직 하향에 가까움,79.0
NOMAD Actor093_a50,85,-0.0104,1.242,수직 하향에 가까움,54.0
NOMAD Actor093_a70,85,0.0331,1.345,수직 하향에 가까움,36.0
NOMAD Actor093_a90,85,0.1452,1.682,수직 하향에 가까움,30.0
NOMAD Actor094_a10,85,0.5082,1.629,비스듬(아래가 큼),236.0
NOMAD Actor094_a30,85,0.6317,2.303,비스듬(아래가 큼),82.0
NOMAD Actor094_a50,85,0.7612,4.577,비스듬(아래가 큼),41.0
NOMAD Actor094_a70,85,0.6544,2.8,비스듬(아래가 큼),31.0
NOMAD Actor094_a90,85,0.3454,1.882,비스듬(아래가 큼),26.0
NOMAD Actor095_a10,85,-0.289,0.747,수직 하향에 가까움,317.0
NOMAD Actor095_a30,85,-0.0192,1.193,수직 하향에 가까움,86.0
NOMAD Actor095_a50,85,-0.3935,0.647,비스듬(위가 큼),49.0
NOMAD Actor095_a70,85,-0.3017,0.732,비스듬(위가 큼),41.0
NOMAD Actor095_a90,85,-0.3933,0.614,비스듬(위가 큼),24.0
NOMAD Actor096_a10,85,-0.4299,0.75,비스듬(위가 큼),283.0
NOMAD Actor096_a30,85,-0.3797,0.678,비스듬(위가 큼),73.0
NOMAD Actor096_a50,85,-0.375,0.843,비스듬(위가 큼),48.0
NOMAD Actor096_a70,85,-0.2174,0.937,수직 하향에 가까움,39.0
NOMAD Actor096_a90,85,-0.3161,0.833,비스듬(위가 큼),27.0
NOMAD Actor097_a10,85,0.3844,1.08,비스듬(아래가 큼),300.0
NOMAD Actor097_a30,85,0.2204,0.981,수직 하향에 가까움,103.0
NOMAD Actor097_a50,85,0.158,1.102,수직 하향에 가까움,55.0
NOMAD Actor097_a70,85,0.2161,2.167,수직 하향에 가까움,29.0
NOMAD Actor097_a90,85,-0.1817,0.849,수직 하향에 가까움,31.0
NOMAD Actor098_a10,85,0.6491,2.017,비스듬(아래가 큼),230.0
NOMAD Actor098_a30,85,-0.1154,1.063,수직 하향에 가까움,91.0
NOMAD Actor098_a50,85,-0.1821,1.182,수직 하향에 가까움,61.0
NOMAD Actor098_a70,85,-0.1695,1.095,수직 하향에 가까움,44.0
NOMAD Actor098_a90,85,-0.2593,0.667,수직 하향에 가까움,31.0
NOMAD Actor099_a10,85,-0.2083,0.84,수직 하향에 가까움,269.0
NOMAD Actor099_a30,85,-0.3398,0.713,비스듬(위가 큼),76.0
NOMAD Actor099_a50,85,-0.2921,0.942,수직 하향에 가까움,43.0
NOMAD Actor099_a70,85,-0.4052,0.676,비스듬(위가 큼),32.0
NOMAD Actor099_a90,85,-0.4472,0.557,비스듬(위가 큼),22.0
NOMAD Actor100_a10,85,-0.1307,0.777,수직 하향에 가까움,290.0
NOMAD Actor100_a30,85,0.1412,1.201,수직 하향에 가까움,77.0
NOMAD Actor100_a50,85,0.0215,2.0,수직 하향에 가까움,30.0
NOMAD Actor100_a70,85,0.1899,0.931,수직 하향에 가까움,31.0
NOMAD Actor100_a90,85,-0.1627,0.864,수직 하향에 가까움,21.0
WiSARD 200321_Baker_Phantom_VIS,1020,0.2834,1.025,수직 하향에 가까움,118.0
WiSARD 200402_Carnation_Inspire_VIS,1635,-0.0467,1.0,수직 하향에 가까움,84.0
WiSARD 200402_Karen_Inspire_VIS,2921,0.002,1.196,수직 하향에 가까움,63.9
WiSARD 200426_SkookumCreek_Mavic_Mini_VIS_0006,530,-0.3343,0.759,비스듬(위가 큼),60.0
WiSARD 200426_SkookumCreek_Mavic_Mini_VIS_0007,5065,-0.4574,0.891,비스듬(위가 큼),64.5
WiSARD 200426_SkookumCreek_Mavic_Mini_VIS_0008,3892,-0.3664,1.075,비스듬(위가 큼),91.4
WiSARD 200505_Bellingham_Mavic_Mini_VIS_0015,584,-0.0795,0.949,수직 하향에 가까움,80.7
WiSARD 200505_Bellingham_Mavic_Mini_VIS_0016,321,0.0399,1.042,수직 하향에 가까움,178.5
WiSARD 200528_Everson_Mavic_Mini_VIS_0021,948,-0.2409,0.96,수직 하향에 가까움,73.5
WiSARD 200528_Everson_Mavic_Mini_VIS_0028,492,0.0233,1.049,수직 하향에 가까움,91.4
WiSARD 200528_Everson_Mavic_Mini_VIS_0029,409,0.1253,1.253,수직 하향에 가까움,231.6
WiSARD 200528_Everson_Mavic_Mini_VIS_0031,1375,-0.1724,0.955,수직 하향에 가까움,64.0
WiSARD 200614_SuddenValley_Phantom_VIS_0005,945,0.3964,1.053,비스듬(아래가 큼),177.0
WiSARD 200614_SuddenValley_Phantom_VIS_0006,1316,0.3009,1.283,비스듬(아래가 큼),255.0
WiSARD 200614_SuddenValley_Phantom_VIS_0012,159,0.1017,1.217,수직 하향에 가까움,138.0
WiSARD 200614_SuddenValley_Phantom_VIS_0013,102,-0.1363,0.878,수직 하향에 가까움,328.5
WiSARD 200614_SuddenValley_Phantom_VIS_0014,754,0.262,0.903,수직 하향에 가까움,84.0
WiSARD 200717_Mission_FLIR_VIS,371,-0.3213,0.778,비스듬(위가 큼),123.0
WiSARD 210327_Airfield_FLIR_VIS_1,872,0.3128,1.424,비스듬(아래가 큼),123.0
WiSARD 210327_Airfield_FLIR_VIS_2,348,0.0344,1.04,수직 하향에 가까움,75.0
WiSARD 210327_Airfield_FLIR_VIS_3,88,0.4558,1.067,비스듬(아래가 큼),96.0
WiSARD 210327_Airfield_FLIR_VIS_4,76,0.5131,0.857,비스듬(아래가 큼),93.0
WiSARD 210417_MtErie_Enterprise_VIS_0003,1022,-0.0856,0.967,수직 하향에 가까움,90.0
WiSARD 210417_MtErie_Enterprise_VIS_0005,454,-0.338,0.376,비스듬(위가 큼),280.5
WiSARD 210417_MtErie_Enterprise_VIS_0007,294,0.5733,1.684,비스듬(아래가 큼),168.0
WiSARD 210529_Carnation_Enterprise_VIS_0023,1942,-0.0101,0.843,수직 하향에 가까움,51.0
WiSARD 210529_Carnation_Enterprise_VIS_0025,5247,0.1876,1.128,수직 하향에 가까움,37.0
WiSARD 210924_FHL_Enterprise_VIS_0126,1398,0.3608,1.751,비스듬(아래가 큼),51.3
WiSARD 210924_FHL_Enterprise_VIS_0134,148,0.4307,1.235,비스듬(아래가 큼),19.0
WiSARD 210924_FHL_Enterprise_VIS_0401,3321,0.0904,1.324,수직 하향에 가까움,40.0
WiSARD 210924_FHL_Enterprise_VIS_0405,577,0.2427,1.345,수직 하향에 가까움,35.0
WiSARD 210924_FHL_Enterprise_VIS_0407,2022,0.1809,1.218,수직 하향에 가까움,65.5
WiSARD 220109_Baker_Enterprise_VIS_1,6012,0.2692,1.627,수직 하향에 가까움,135.0
